"Tag","CN","EN"
Compliance,全球数据隐私合规,Global Data Privacy Compliance
Compliance,个人可识别信息,Personally Identifiable Information (PII) 
Compliance,隐私信息管理系统,Privacy Information Management System (PIMS)
Compliance,国际标准化组织,ISO (International Standards Organization)
Compliance,国际电工委员会,IEC (International Electrotechnical Commission)
Qualification ,安全白皮书,Security Whitepaper
Qualification ,《健康保险携带和责任法案》,HIPAA  (Health Insurance Portability and Accountability Act)
Qualification ,身份认证,Identity authentication
Qualification ,权限认证,Permission authentication
Qualification ,设置会话超时,"
Session Timeout Setting"
Qualification ,限定访问区域,Accessible Region Restriction
Qualification ,信息存储,Information Storage
Qualification ,保密性和完整性,Confidentiality and Integrity
Qualification ,HTTPS加密通信,HTTPS Encrypted Communication
Qualification ,资源隔离,Resource Isolation
Qualification ,私有资产存储,Private Asset Storage
Qualification ,服务可用性,Service availability
Qualification ,技术指标,Technical indicator
Qualification ,客户服务和技术支持,Customer service and technical support
Qualification ,故障响应时间,Failure response time
Qualification ,数据查询及统计,Data query and statistics
Qualification ,投诉保证,Complaint handling
Qualification ,安全漏洞,Security breaches/ Security vulnerabilities